date,file,activity_type,duration_min,avg_power,peak_5s,peak_20s,peak_30s,peak_1min,peak_3min,peak_5min,peak_10min,peak_20min,peak_60min,peak_90min,peak_180min,peak_240min,peak_300min,avg_elevation_ft,altitude_category,avg_pace_sec_per_km,avg_hr,peak_peak_5s,peak_peak_20s,peak_peak_30s,peak_peak_1min,peak_peak_3min,peak_peak_5min,peak_peak_10min,peak_peak_20min,peak_peak_60min,peak_peak_90min,peak_peak_180min,peak_peak_240min,peak_peak_300min
2015-05-09,2015-05-09-14-57-03.fit.gz,cycling,83.53333333333333,265.9106145251397,355.4,320.7,319.7,316.7,307.9,306.2,276.4,276.0,271.5,,,,,5129.0,colorado,,,,,,,,,,,,,,,
2015-05-10,2015-05-10-15-15-57.fit.gz,cycling,96.45,280.042681873164,635.6,572.8,471.8,381.7,354.2,344.4,327.8,312.3,291.0,281.7,,,,5338.0,colorado,,,,,,,,,,,,,,,
2015-05-12,2015-05-12-17-07-52.fit.gz,cycling,103.75,275.6824096385542,1043.4,628.2,505.5,459.3,416.7,363.8,341.3,316.5,288.1,277.8,,,,5579.0,colorado,,,,,,,,,,,,,,,
2015-05-14,2015-05-14-16-49-18.fit.gz,cycling,61.0,291.0603825136612,702.2,554.3,457.7,420.0,386.4,367.1,340.3,326.6,292.6,,,,,5259.0,colorado,,,,,,,,,,,,,,,
2015-05-15,2015-05-15-14-28-19.fit.gz,cycling,90.5,253.0817679558011,477.4,433.5,421.3,407.0,391.6,363.3,345.2,334.4,290.3,253.6,,,,5593.0,colorado,,,,,,,,,,,,,,,
2015-05-16,2015-05-16-11-38-15.fit.gz,cycling,124.65,311.3115389757989,839.6,640.6,569.3,532.2,455.1,416.2,380.5,370.9,355.0,337.0,,,,5969.0,colorado,,,,,,,,,,,,,,,
2015-05-17,2015-05-17-10-27-19.fit.gz,cycling,165.61666666666667,261.834758981584,928.2,568.9,506.1,450.0,388.9,363.9,343.4,325.2,316.0,307.7,,,,5539.0,colorado,,,,,,,,,,,,,,,
2015-05-21,2015-05-20-18-15-18.fit.gz,cycling,86.98333333333333,290.9810308488216,507.6,448.2,439.9,421.7,366.4,348.2,328.5,317.7,305.9,,,,,5371.0,colorado,,,,,,,,,,,,,,,
2015-05-22,2015-05-22-14-54-46.fit.gz,cycling,50.5,331.5112211221122,888.6,699.9,660.3,457.2,406.1,384.2,367.7,362.3,,,,,,5092.0,colorado,,,,,,,,,,,,,,,
2015-05-26,2015-05-26-17-16-40.fit.gz,cycling,84.0,267.2234126984127,661.8,596.2,557.1,418.5,377.2,364.4,350.5,342.0,298.4,,,,,5457.0,colorado,,,,,,,,,,,,,,,
