date,Load,Performance
2019-07-19,98.21,1.5902777777777777
2019-07-20,218.26,1.7686567164179106
2019-07-21,204.25,1.7328244274809161
2019-07-23,87.89,1.7588652482269505
2019-07-24,138.7,
2019-07-25,77.24,1.717741935483871
2019-07-26,103.91,1.7426470588235294
2019-07-27,55.98,1.3923076923076922
2019-07-30,90.79,1.8503937007874016
2019-07-31,115.65,1.7851851851851852
2019-08-01,109.57,1.6571428571428573
2019-08-02,138.37,1.6194029850746268
2019-08-03,216.48,1.6814814814814816
2019-08-04,141.81,1.5859375
2019-08-06,129.99,1.6645569620253164
2019-08-08,72.85,1.6141732283464567
2019-08-09,114.14,1.6573426573426573
2019-08-10,134.66,
2019-08-11,183.55,1.6796875
2019-08-12,24.62,1.25
2019-08-13,107.86,1.7647058823529411
2019-08-14,116.7,
2019-08-15,84.71,1.7265625
2019-08-16,112.06,1.7037037037037037
2019-08-17,240.99,
2019-08-19,28.97,1.5169491525423728
2019-08-20,68.99,1.819672131147541
2019-08-21,100.39,
2019-08-22,90.51,1.7445255474452555
2019-08-23,91.76,1.7246376811594204
2019-08-24,234.77,1.589928057553957
2019-08-25,68.01,
2019-08-27,74.42,1.8203125
2019-08-28,121.98,1.647887323943662
2019-08-29,72.06,1.6592592592592592
2019-08-30,38.84,1.5671641791044777
2019-08-31,77.85,1.5034482758620689
2019-09-01,237.32,1.404109589041096
2019-09-02,88.99,
2019-09-04,47.07,1.7142857142857142
2019-09-05,84.24,1.6619718309859155
2019-09-06,130.78,
2019-09-07,93.43,1.6343283582089552
2019-09-08,227.23,
2019-09-10,44.33,
2019-09-11,49.93,1.7016129032258065
2019-09-12,121.51,1.6277372262773722
2019-09-13,72.28,1.7401574803149606
2019-09-14,91.55,1.7518796992481203
2019-09-15,132.94,1.6592592592592592
2019-09-18,68.98,2.0223880597014925
2019-09-20,73.12,
2019-09-21,123.19,
2019-09-22,160.34,1.7424242424242424
2019-09-24,62.29,1.7054263565891472
2019-09-25,87.16,1.7372262773722629
2019-09-26,88.99000000000001,1.871212121212121
2019-09-28,188.94,1.930232558139535
2019-09-29,138.95,1.8692307692307693
2019-10-02,81.79,1.8923076923076922
2019-10-03,102.05,1.7173913043478262
2019-10-05,107.19,1.6793893129770991
2019-10-06,155.53,1.7054263565891472
2019-10-09,82.56,1.7265625
2019-10-10,95.68,1.9133858267716535
2019-10-12,178.28,1.6616541353383458
2019-10-14,81.15,1.873015873015873
2019-10-16,82.29,1.5441176470588236
2019-10-18,56.0,1.8257575757575757
2019-10-19,153.76,1.626984126984127
2019-10-22,65.12,1.8125
2019-10-24,44.89,1.8548387096774193
2019-10-25,74.83,
2019-10-26,217.32,1.6766917293233083
2019-10-28,58.43,1.9126984126984128
2019-11-04,90.72,1.91869918699187
2019-11-06,93.86,1.7786259541984732
2019-11-09,167.01,1.5142857142857142
2019-11-10,120.35,1.9296875
2019-11-13,51.8,1.7050359712230216
2019-11-14,120.88,1.9333333333333333
2019-11-16,178.67,1.8076923076923077
2019-11-17,154.75,1.9015151515151516
2019-11-20,113.65,1.624113475177305
2019-11-25,87.2,1.702290076335878
2019-11-26,86.44,1.7131782945736433
2019-11-27,146.62,1.5507246376811594
2019-11-29,92.82,1.6231884057971016
2019-12-01,265.29,
2019-12-04,103.86,1.802919708029197
