"Timestamp","Type","Value"
"2024-01-31 05:52:00","Time Awake","0.9772847"
"2024-02-01 05:03:00","Time In Light Sleep","3.22838"
"2024-02-01 05:03:00","Time Awake","0.8411347"
"2024-02-01 05:03:00","Notes","WHOOP Recovery Score: 46"
"2024-02-01 05:03:00","Pulse","53"
"2024-02-01 05:03:00","Time In REM Sleep","2.122624"
"2024-02-01 05:03:00","Number Times Woken","12"
"2024-02-01 05:03:00","Time In Deep Sleep","1.8345016"
"2024-02-01 05:03:00","HRV","52.573334"
"2024-02-01 05:03:00","Sleep Hours","7.19"
"2024-02-01 09:20:45","Weight Pounds","175.70"
"2024-02-02 05:42:00","Sleep Hours","7.18"
"2024-02-02 05:42:00","Pulse","54"
"2024-02-02 05:42:00","HRV","46.2208"
"2024-02-02 05:42:00","Time In REM Sleep","1.7303433"
"2024-02-02 05:42:00","Number Times Woken","11"
"2024-02-02 05:42:00","Time In Deep Sleep","1.87455"
"2024-02-02 05:42:00","Time In Light Sleep","3.5725079"
"2024-02-02 05:42:00","Time Awake","0.84112304"
"2024-02-02 05:42:00","Notes","WHOOP Recovery Score: 33"
"2024-02-02 06:00:56","Weight Pounds","176.40"
"2024-02-03 07:12:00","Time In Light Sleep","4.77417"
"2024-02-03 07:12:00","Time Awake","0.9772747"
"2024-02-03 07:12:00","Notes","WHOOP Recovery Score: 83"
"2024-02-03 07:12:00","Time In REM Sleep","0.96130085"
"2024-02-03 07:12:00","Time In Deep Sleep","1.8184786"
"2024-02-03 07:12:00","Sleep Hours","7.55"
"2024-02-03 07:12:00","Number Times Woken","17"
"2024-02-03 07:12:00","Pulse","50"
"2024-02-03 07:12:00","HRV","76.26665"
"2024-02-03 08:46:26","Weight Pounds","179.00"
"2024-02-04 07:04:00","Number Times Woken","19"
"2024-02-04 07:04:00","Pulse","48"
"2024-02-04 07:04:00","Time In REM Sleep","2.4272816"
"2024-02-04 07:04:00","HRV","82.47582"
"2024-02-04 07:04:00","Sleep Hours","7.46"
"2024-02-04 07:04:00","Time In Deep Sleep","1.8264945"
"2024-02-04 07:04:00","Time Awake","0.83314276"
"2024-02-04 07:04:00","Notes","WHOOP Recovery Score: 89"
"2024-02-04 07:04:00","Time In Light Sleep","3.2040915"
"2024-02-04 09:00:00","Weight Pounds","180.50"
"2024-02-05 07:23:00","Notes","WHOOP Recovery Score: 80"
"2024-02-05 07:23:00","Time Awake","1.690263"
"2024-02-05 07:23:00","Time In Light Sleep","3.74908"
"2024-02-05 07:23:00","Time In REM Sleep","3.1399655"
"2024-02-05 07:23:00","Sleep Hours","8.90"
"2024-02-05 07:23:00","Pulse","50"
"2024-02-05 07:23:00","HRV","73.75244"
"2024-02-05 07:23:00","Number Times Woken","18"
"2024-02-05 07:23:00","Time In Deep Sleep","2.0107358"
"2024-02-06 07:10:00","Sleep Hours","6.73"
"2024-02-06 07:10:00","Time In REM Sleep","1.9706714"
"2024-02-06 07:10:00","Pulse","46"
"2024-02-06 07:10:00","Time In Deep Sleep","1.7544036"
"2024-02-06 07:10:00","Number Times Woken","15"
"2024-02-06 07:10:00","HRV","88.78691"
"2024-02-06 07:10:00","Notes","WHOOP Recovery Score: 90"
"2024-02-06 07:10:00","Time In Light Sleep","3.0037937"
"2024-02-06 07:10:00","Time Awake","0.85715"
"2024-02-07 05:16:00","Time In Light Sleep","2.2750952"
"2024-02-07 05:16:00","Notes","WHOOP Recovery Score: 44"
"2024-02-07 05:16:00","Time Awake","0.7690283"
"2024-02-07 05:16:00","Time In REM Sleep","2.058538"
"2024-02-07 05:16:00","Time In Deep Sleep","1.7543961"
"2024-02-07 05:16:00","HRV","63.275455"
"2024-02-07 05:16:00","Sleep Hours","6.09"
"2024-02-07 05:16:00","Number Times Woken","13"
